1 0.630334 
1.2 0.611483 
1.44 0.590466 
1.728 0.567334 
2.0736 0.542245 
2.48832 0.51548 
2.98598 0.487445 
3.58318 0.458657 
4.29982 0.429705 
5.15978 0.401194 
6.19174 0.373674 
7.43008 0.347581 
8.9161 0.323199 
10.6993 0.300652 
12.8392 0.279933 
15.407 0.260958 
18.4884 0.2436 
22.1861 0.227726 
26.6233 0.213206 
31.948 0.199922 
38.3376 0.187764 
46.0051 0.176634 
55.2061 0.166441 
66.2474 0.1571 
79.4968 0.148537 
95.3962 0.140683 
114.475 0.133473 
137.371 0.12685 
164.845 0.120761 
197.814 0.115158 
237.376 0.109997 
284.852 0.105237 
341.822 0.100841 
410.186 0.096776 
492.224 0.0930107 
590.668 0.0895168 
708.802 0.0862686 
850.562 0.0832427 
1020.67 0.0804173 
1224.81 0.0777729 
1469.77 0.0752914 
1763.73 0.0729565 
2116.47 0.0707532 
2539.77 0.068668 
3047.72 0.0666885 
3657.26 0.0648034 
4388.71 0.0630027 
5266.46 0.0612772 
6319.75 0.0596186 
7583.7 0.0580196 
9100.44 0.0564734 
10920.5 0.054974 
13104.6 0.0535159 
15725.6 0.0520937 
